Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
PFD069E,How long (have/has) (you/SP) had other developmental problems (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069F,How long (have/has) (you/SP) had diabetes (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069G,How long (have/has) (you/SP) had fractures or bone or joint injury problems (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069H,How long (have/has) (you/SP) had hearing problems (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069I,How long (have/has) (you/SP) had heart problems (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069J,How long (have/has) (you/SP) had hypertension or high blood pressure (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069K,How long (have/has) (you/SP) had lung or breathing problems (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069L,How long (have/has) (you/SP) had mental retardation (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069M,How long (have/has) (you/SP) had other injury problems (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069N,How long (have/has) (you/SP) had senility (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069O,How long (have/has) (you/SP) had stroke problems (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069P,How long (have/has) (you/SP) had vision problems (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069Q,How long (have/has) (you/SP) had weight problems (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFD069R,How long (have/has) (you/SP) had the other impairment you mentioned (# of days)?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ010,"The next set of questions is about limitations caused by any long-term physical, mental or emotional problem or illness. Please do not include temporary conditions, such as a cold. Is {SP} limited in the kind or amount of play activities {he/she} can do because of a physical, mental or emotional problem?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ015,Is {SP} able to take part at all in the usual kinds of play activities done by most children {his/her} age?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ020,"{Do you/Does SP} have an impairment or health problem that limits {your/his/her} ability to {crawl, walk or play} {walk, run or play} {walk or run}?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ030,"Is this an impairment or health problem that has lasted, or is expected to last 12 months or longer?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ041,Does {SP} receive Special Education or Early Intervention Services?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ049,"The next set of questions is about limitations caused by any long-term physical, mental or emotional problem or illness. Please do not include temporary conditions, such as a cold [or pregnancy]. Does a physical, mental or emotional problem now keep {you/SP} from working at a job or business?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ051,"{Are you/Is SP} limited in the kind or amount of work {you/s/he} can do because of a physical, mental or emotional problem?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ054,"Because of a health problem, {do you/does SP} have difficulty walking without using any special equipment?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ057,{Are you/Is SP} limited in any way because of difficulty remembering or because {you/s/he} experience{s} periods of confusion?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ059,"{Are you/Is SP} limited in any way in any activity because of a physical, mental or emotional problem?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061A,"The next questions ask about difficulties {you/SP} may have doing certain activities because of a health problem. By ""health problem"" we mean any long-term physical, mental or emotional problem or illness {not including pregnancy}. By {yourself/himself /herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .managing {your/his/her} money [such as keeping track of {your/his/her} expenses or paying bills]?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061B,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking for a quarter of a mile [that is about 2 or 3 blocks]?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061C,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking up 10 steps without resting?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061D,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .stooping, crouching, or kneeling?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061E,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .lifting or carrying something as heavy as 10 pounds [like a sack of potatoes or rice]?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061F,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing chores around the house [like vacuuming, sweeping, dusting, or straightening up]?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061G,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .preparing {your/his/her} own meals?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061H,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking from one room to another on the same level?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061I,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing up from an armless straight chair?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061J,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .getting in or out of bed?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061K,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .eating, like holding a fork, cutting food or drinking from a glass?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061L,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .dressing {yourself/himself/herself}, including tying shoes, working zippers, and doing buttons?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061M,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing or being on {your/his/her} feet for about 2 hours?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061N,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .sitting for about 2 hours?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061O,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .reaching up over {your/his/her} head?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061P,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .using {your/his/her} fingers to grasp or handle small objects?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061Q,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .going out to things like shopping, movies, or sporting events?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061R,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .participating in social activities [visiting friends, attending clubs or meetings or going to parties]?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061S,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing things to relax at home or for leisure [reading, watching TV, sewing, listening to music]?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ061T,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .pushing or pulling large objects like a living room chair?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ063A,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ063B,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ063C,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ063D,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ063E,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
PFQ090,"{Do you/Does SP} now have any health problem that requires {you/him/her} to use special equipment, such as a cane, a wheelchair, a special bed, or a special telephone?",PFQ_C,Physical Functioning,2003,2004,Questionnaire,
SEQN,Respondent sequence number.,PFQ_C,Physical Functioning,2003,2004,Questionnaire,
RXDCOUNT,The number of prescription medicines reported,RXQ_RX_C,Prescription Medications,2003,2004,Questionnaire,
RXDDAYS,For how long have you been using or taking {PRODUCT NAME}?,RXQ_RX_C,Prescription Medications,2003,2004,Questionnaire,
RXDDRGID,Generic drug code,RXQ_RX_C,Prescription Medications,2003,2004,Questionnaire,
RXDDRUG,Generic drug name,RXQ_RX_C,Prescription Medications,2003,2004,Questionnaire,
RXDUSE,In the past month have you used or taken medication for which a prescription is needed? Do not include prescription vitamins or minerals you may have already told me about.,RXQ_RX_C,Prescription Medications,2003,2004,Questionnaire,
RXQSEEN,Was prescription container seen by interviewer?,RXQ_RX_C,Prescription Medications,2003,2004,Questionnaire,
SEQN,Respondent sequence number.,RXQ_RX_C,Prescription Medications,2003,2004,Questionnaire,
KIQ081,The next set of questions is about men's health including urinary and prostate problems. The prostate is a gland located just below the bladder. Do you usually have trouble starting to urinate (pass water)?,KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
KIQ101,"After urinating (passing water), does your bladder feel empty?",KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
KIQ106,Have you ever been told by a doctor or health professional that you have any disease of the prostate? This includes an enlarged prostate.,KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
KIQ121,Have you ever been told by a doctor or health professional that you had an enlarged prostate gland?,KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
KIQ141,"Was it a benign enlargement - that is, not cancerous, also called benign prostatic hypertrophy?",KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
KIQ161,How old were you when you were first told that you had benign enlargement of the prostate gland?,KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
KIQ182,Was the enlargement due to cancer?,KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
KIQ321,"Have you ever had a blood test that your doctor told you was being used to check for prostate cancer, called PSA, or Prostate Specific Antigen?",KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
KIQ341,Have you ever had a rectal examination? A rectal exam is when a finger is inserted in the rectum or bottom to check for problems.,KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
KIQ361,Was this done to check for prostate cancer?,KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
KIQ381,Was this done to check for blood in the stool?,KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
KIQ400,Many men experience problems with sexual intercourse. How would you describe your ability to get and keep an erection adequate for satisfactory intercourse? Would you say that you are...,KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
SEQN,Respondent sequence number.,KIQ_P_C,Prostate Conditions,2003,2004,Questionnaire,
PSASCCT1,Reasons for Not Done,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSASCST1,Interview Status Code,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ020,"Before you participated in the NHANES survey, did you hear of the PSA test somewhere else?",PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ030A,Where did you hear about the PSA test? Was it from... A friend or relative,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ030B,Where did you hear about the PSA test? Was it from... A doctor,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ030C,Where did you hear about the PSA test? Was it from... A health brochure,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ030D,Where did you hear about the PSA test? Was it from... Television,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ030E,Where did you hear about the PSA test? Was it from... Radio,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ030F,Where did you hear about the PSA test? Was it from... Other,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ040,"To your knowledge, did you ever have a PSA test before you were tested in our survey?",PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ050,How long ago did you have your first PSA test? Would you say it was....,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ060,Was the test result in our letter the first time you were told you had a high PSA test result?,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ070,For about how long have you known that your PSA was high? Would you say...,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ080,Think about your first PSA test. Did you specifically request the test...or was the decision made by your health care provider?,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ090A,Men get the PSA test for different reasons. Please answer yes if any of the following reasons were true for you. You requested the test because....You had prostate problems like frequent urination.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ090B,Men get the PSA test for different reasons. Please answer yes if any of the following reasons were true for you. You requested the test because....Your wife or partner convinced you to have the test.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ090C,Men get the PSA test for different reasons. Please answer yes if any of the following reasons were true for you. You requested the test because...The PSA test was offered at a health fair or community event.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ090D,Men get the PSA test for different reasons. Please answer yes if any of the following reasons were true for you. You requested the test because...Men in your family had prostate cancer.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ090E,Men get the PSA test for different reasons. Please answer yes if any of the following reasons were true for you. You requested the test because...People of your race or ethnicity are more likely to develop prostate cancer.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ090F,Men get the PSA test for different reasons. Please answer yes if any of the following reasons were true for you. You requested the test because...You had another reason.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ100A,Health care providers order PSA tests for different reasons. Please answer yes if any of the following reasons are true. Your health care provider ordered a PSA test....As part of routine screening for your age,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ100B,Health care providers order PSA tests for different reasons. Please answer yes if any of the following reasons are true. Your health care provider ordered a PSA test....Because men in your family had prostate cancer,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ100C,Health care providers order PSA tests for different reasons. Please answer yes if any of the following reasons are true. Your health care provider ordered a PSA test....You had prostate problems like frequent urination.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ100D,Health care providers order PSA tests for different reasons. Please answer yes if any of the following reasons are true. Your health care provider ordered a PSA test....An enlarged prostate was detected during your physical exam.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ100E,Health care providers order PSA tests for different reasons. Please answer yes if any of the following reasons are true. Your health care provider ordered a PSA test....Because men of your race/ethnicity are more likely to develop prostate cancer.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ100F,Health care providers order PSA tests for different reasons. Please answer yes if any of the following reasons are true. Your health care provider ordered a PSA test...Your wife or partner asked the doctor to check your PSA level.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ110,Did you see a doctor or other health professional about your high PSA test result?,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ120,Do you have an appointment to see a doctor or other health care professional about your high PSA test result?,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ130A,Think back to when your doctor explained what a high PSA result means. Answer yes if you remember hearing your doctor tell you any of the following statements. A high PSA could mean.... You may have an inflamed prostate gland.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ130B,Think back to when your doctor explained what a high PSA result means. Answer yes if you remember hearing your doctor tell you any of the following statements. A high PSA could mean.... You may have an enlarged prostate gland.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ130C,Think back to when your doctor explained what a high PSA result means. Answer yes if you remember hearing your doctor tell you any of the following statements. A high PSA could mean.... You may have prostate cancer.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ130D,Think back to when your doctor explained what a high PSA result means. Answer yes if you remember hearing your doctor tell you any of the following statements. A high PSA could mean.... Your result was a possible laboratory error,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ130E,Think back to when your doctor explained what a high PSA result means. Answer yes if you remember hearing your doctor tell you any of the following statements. A high PSA could mean.... Other,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ140,"When you saw a doctor or other health professional about your high PSA test result, did you have other tests or procedures to check your prostate for possible problems?",PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ150,Did you have a prostate biopsy?,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ160,Do you know the results of your prostate biopsy?,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ170A,What did your prostate biopsy show? Your biopsy showed...An inflammation of your prostate gland,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ170B,What did your prostate biopsy show? Your biopsy showed...Normal prostate tissue,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ170C,What did your prostate biopsy show? Your biopsy showed...Prostate cancer.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ170D,What did your prostate biopsy show? Your biopsy showed...Other,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ180,Did your doctor or health care professional tell you that you need treatment for your prostate condition?,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ190,Did you receive (or are you currently receiving) the treatment that your doctor recommended?,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ200A,Why did you decide not to get treated? (Chose all that apply) Was it because ...The side effects to the treatment are unpleasant.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ200B,Why did you decide not to get treated? (Chose all that apply) Was it because ...The results following treatment is uncertain,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ200C,Why did you decide not to get treated? (Chose all that apply) Was it because ...The treatment is too expensive.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ200D,Why did you decide not to get treated? (Chose all that apply) Was it because ...There is hope of better treatment in the future.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ200E,Why did you decide not to get treated? (Chose all that apply) Was it because ...You decided to wait and see how the condition progresses (Watchful waiting).,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ200F,Why did you decide not to get treated? (Chose all that apply) Was it because ...You were afraid.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ200G,Why did you decide not to get treated? (Chose all that apply) Was it because ... Or is there some other reason,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ210,"Although it is possible that men who have a high PSA may have prostate cancer, they probably just have a large prostate.",PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ220,Additional tests are usually required for your doctor to determine if a high PSA is caused by cancer or some other condition.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ230,Some men who develop prostate cancer live to be 70 years of age or more.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ240,Some men who develop prostate cancer may have rapid disease and die within five years.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ250,"Men are at a higher risk for developing prostate cancer if they have more than one relative, their father, or a brother that have been diagnosed with prostate cancer.",PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ260,African American men have a higher risk of developing prostate cancer compared to other racial/ethnic groups.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ270,There are several different types of treatment available to men diagnosed with prostate cancer.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ280,"Almost all options for treating and managing prostate cancer have some risk of side effects, including, loss of bladder control and problems with sexual performance.",PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ290,There are support groups for men with prostate cancer.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
PSQ300,What language was used for the interview?,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
SEQN,Respondent sequence number.,PSQ_C,Prostate Specific Antigen Follow-up,2003,2004,Questionnaire,
RHD042,What is the reason that {you have/SP has} not had a period in the past 12 months?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHD080,Number of days since the last period started.,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHD143,{Are you/Is SP} pregnant now?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHD152,Which month of pregnancy {are you/is she} in?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHD170,How many of {your/her} pregnancies resulted in a live birth?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHD230,How many of {your/SP's} children did {you/she} breast feed for at least 1 month?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHD270,How many of these babies were born preterm? A preterm delivery is one that occurs at 36 weeks or earlier in pregnancy.,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHD280,"{Have you/Has SP} had a hysterectomy that is, surgery to remove {your/her} uterus or womb?",RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHD442,{Are you/Is SP} taking birth control pills now?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHD451,How old {were you/was SP} when {you/she} stopped taking birth control pills?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ010,The next series of questions are about {your/SP's} reproductive history. I will begin by asking about {your/SP's} periods or menstrual cycles. How old {were you/was SP} when {you/SP} had {your/her} first menstrual period?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ020,{Were you/Was SP}...,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ031,"{Have you/Has SP} had at least one menstrual period in the past 12 months? (Please do not include bleedings caused by medical conditions, hormone therapy, or surgeries.)",RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ051,When did {you/SP} have {your/her} last period? PROBE: How many months ago was {your/her} last period?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ060,About how old {were you/was SP} when {you/SP} had {your/her} last menstrual period?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ070,{Were you/Was SP}...,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ131,"The next questions are about {your/SP's} pregnancy history. {Have you/Has SP ever been pregnant? Please include (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies and abortions.",RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ160,"How many times {have you/has SP} been pregnant? ({Again, be/Be} sure to count all {your/her} pregnancies including (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies or abortions.)",RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ180,How old {were you/was SP} at the time of {your/her} first live birth?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ190,How old {were you/was SP} at the time of {your/her} last live birth?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ200,{Are you/Is SP} now breast feeding a child?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ210,Did {you/SP} breast feed {your/her} child/any of {your/her} children?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ250,"{Did {your child/SP's child/Did any of {your/SP's} children} weigh less than 5 1/2 pounds (2,500g) at birth?",RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ260,How many of {your/her} children weighed less than 5 1/2 pounds (2500g) at birth?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ291,How old {were you/was SP} when {you/she} had {your/her} (hysterectomy/uterus removed/womb removed)?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ300,{Have you/Has SP} had at least one of {your/her} ovaries removed (either when {you/she} had {your/her} uterus removed or at another time)?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ310,Were both ovaries removed or only one?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ320,Were both of {your/SP's} ovaries removed at the same time or at different times?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ330,How old {were you/was SP} when {you/she} had {your/her} {ovary/ovaries} removed?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ340,How old {were you/was SP} when {you/she} had the second ovary removed?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ360,"Has a doctor or other health professional ever told {you/SP} that {you/she} had endometriosis? (Endometriosis is a disease in which the tissue that forms the lining of the uterus/womb attaches to other places, such as the ovaries, fallopian tubes, or",RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ370,How old {were you/was SP} when {you were/she was} first told {you/she} had endometriosis?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ380,Has a doctor or other health professional ever told {you/SP} that {you/she} had uterine fibroids? (Uterine fibroids are benign (not cancerous) tumors growing in various locations on or within the uterus/womb.),RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ390,How old {were you/was SP} when {you were/she was} first told {you/she} had uterine fibroids?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ420,Now I am going to ask you about {your/SP's} birth control history. {Have you/Has SP} ever taken birth control pills for any reason?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ430,How old {were you/was SP} when {you/she} began using birth control pills?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ460Q,"Not counting any time when {you/SP} stopped taking them, for how long altogether {have you taken/did you take/has she taken/did she take} birth control pills?",RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ460U,UNIT OF MEASURE.,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ510,{Have you/Has SP} ever used Depo-Provera or injectables to prevent pregnancy?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ520,{Are you/Is SP} now using Depo-Provera or injectables to prevent pregnancy?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ540,"{Have you/Has SP} ever used female hormones such as estrogen and progesterone? Please include any forms of female hormones, such as pills, cream, patch, and injectables, but do not include birth control methods or use for infertility.",RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ541A,Which forms of female hormones {have you/has SP} used.,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ541B,Which forms of female hormones {have you/has SP} used.,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ541C,Which forms of female hormones {have you/has SP} used.,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ550,"At the time {you/SP} started using female hormones or hormone replacement therapy, {were you/was she} still having {your/her} periods or had {you/she} completely stopped having {your/her} periods?",RHQ_C,Reproductive Health,2003,2004,Questionnaire,
RHQ551A,What are {your/SP's} reasons for having used estrogen or progesterone?,RHQ_C,Reproductive Health,2003,2004,Questionnaire,
